Time (iso),RA (GCRS) [deg],Dec (GCRS) [deg],Distance (GCRS) [km]
2024-09-11 13:23:00.000,80.03274873623766,11.358587803664374,7065.469218118598
2024-09-11 13:24:00.000,79.47669321331053,14.975069263864173,7065.281699847333
2024-09-11 13:25:00.000,78.90148727463743,18.590193460427294,7065.097110663024
2024-09-11 13:26:00.000,78.30128047700465,22.203496630315325,7064.917527178821
2024-09-11 13:27:00.000,77.66929536817416,25.814447362709558,7064.745246084718
2024-09-11 13:28:00.000,76.9974975363849,29.42242237048798,7064.582749199187
2024-09-11 13:29:00.000,76.27615356786609,33.02667626806377,7064.432664142094
2024-09-11 13:30:00.000,75.4932265794146,36.62628679374887,7064.297721856078
2024-09-11 13:31:00.000,74.63351974783478,40.22010540930507,7064.180710190922
2024-09-11 13:32:00.000,73.6774470480393,43.80665483964771,7064.084426332151
2024-09-11 13:33:00.000,72.59921133548603,47.38399317687568,7064.011627337283
2024-09-11 13:34:00.000,71.36403508718128,50.949501715575245,7063.964980231767
2024-09-11 13:35:00.000,69.92382266826269,54.4995489342304,7063.947012401881
2024-09-11 13:36:00.000,68.21013819678674,58.02893871103482,7063.960063126051
2024-09-11 13:37:00.000,66.12241681152,61.52996600512858,7064.006237071351
2024-09-11 13:38:00.000,63.50737687561279,64.99072246351798,7064.087360552886
2024-09-11 13:39:00.000,60.12157214694742,68.39188809141089,7064.204941311504
2024-09-11 13:40:00.000,55.560810683780126,71.70028636283729,7064.360132627163
2024-09-11 13:41:00.000,49.125847267545154,74.8551239107784,7064.553701726252
2024-09-11 13:42:00.000,39.58931767234597,77.73750521792083,7064.786004662821
2024-09-11 13:43:00.000,24.99882998933451,80.10665345940573,7065.056966064359
2024-09-11 13:44:00.000,3.7238870186044912,81.52124042385219,7065.366065613041
2024-09-11 13:45:00.000,338.80630146773706,81.49148746643107,7065.712330964198
2024-09-11 13:46:00.000,317.78057881085334,80.03070749747327,7066.094337363397
2024-09-11 13:47:00.000,303.4272841706337,77.63646282414045,7066.510214024269
2024-09-11 13:48:00.000,294.0426388685074,74.74232299337578,7066.957657220872
2024-09-11 13:49:00.000,287.6988038182809,71.58271426305258,7067.4339499406315
2024-09-11 13:50:00.000,283.19415008219835,68.27337259172877,7067.935987839121
2024-09-11 13:51:00.000,279.84449541255026,64.87359404760497,7068.460311495468
2024-09-11 13:52:00.000,277.25383519551394,61.4158228657734,7069.00314237633
2024-09-11 13:53:00.000,275.1832358008973,57.91898099863886,7069.56042728274
2024-09-11 13:54:00.000,273.482008085847,54.39474620813118,7070.127883618137
2024-09-11 13:55:00.000,272.0511405866046,50.85067690451313,7070.701050037014
2024-09-11 13:56:00.000,270.8231664661879,47.291867302079865,7071.275339646956
2024-09-11 13:57:00.000,269.750617080588,43.72187171308544,7071.84609532004
2024-09-11 13:58:00.000,268.7991340911719,40.14324560059646,7072.408646292488
2024-09-11 13:59:00.000,267.943209006869,36.55787560367695,7072.9583652125375
2024-09-11 14:00:00.000,267.16346001822393,32.967188242098544,7073.490724790276
2024-09-11 14:01:00.000,266.44483895354114,29.372286184496033,7074.001353210848
2024-09-11 14:02:00.000,265.7754181674789,25.774039811810987,7074.4860874925835
2024-09-11 14:03:00.000,265.1455483391923,22.17314797010238,7074.941024299176
2024-09-11 14:04:00.000,264.547261617879,18.570192312743913,7075.362565676939
2024-09-11 14:05:00.000,263.9738330219805,14.965655212401314,7075.7474635627805
2024-09-11 14:06:00.000,263.41945608753514,11.359953533254615,7076.092856334843
2024-09-11 14:07:00.000,262.87899142380826,7.753454698255708,7076.396301500912
2024-09-11 14:08:00.000,262.34776670998525,4.146491350669905,7076.655802194343
2024-09-11 14:09:00.000,261.82141052624513,0.5393734871853695,7076.869827427503
2024-09-11 14:10:00.000,261.29570712364716,-3.067600970744728,7077.037325833426
2024-09-11 14:11:00.000,260.76646175759964,-6.6741363913435485,7077.157732726292
2024-09-11 14:12:00.000,260.22936744172694,-10.279929749796434,7077.230970413557
2024-09-11 14:13:00.000,259.6798641432764,-13.884660377760605,7077.257441795214
2024-09-11 14:14:00.000,259.1129801793167,-17.487980824237134,7077.238017359508
2024-09-11 14:15:00.000,258.5231461971619,-21.08949343959172,7077.174015951399
2024-09-11 14:16:00.000,257.90396045134287,-24.68874775493273,7077.0671793721385
2024-09-11 14:17:00.000,257.2478914870982,-28.285208713361214,7076.919641496488
2024-09-11 14:18:00.000,256.54588169302485,-31.878229661003125,7076.733892291949
2024-09-11 14:19:00.000,255.78680810937092,-35.46701210888676,7076.512737338426
2024-09-11 14:20:00.000,254.9567300329647,-39.05054931445289,7076.259253497952
